MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,HI_52_WK,LO_52_WK,Date
N,SM,AATMAJ,AATMAJ HEALTHCARE LIMITED,26.1,26.15,27.15,26.1,27.15,538800.0,20000, ,44.2,24.35,2024-12-12
N,SM,ABSMARINE,ABS MARINE SERVICES LTD,204.4,203.0,207.95,202.5,203.55,9623275.0,47000, ,425.0,183.0,2024-12-12
N,SM,ACCENTMIC,ACCENT MICROCELL LIMITED,264.65,268.0,268.0,263.0,263.8,1454100.0,5500, ,364.0,224.0,2024-12-12
N,SM,ACCORD,ACCORD SYNERGY LIMITED,28.6,29.75,29.75,29.75,29.75,59500.0,2000, ,37.0,23.65,2024-12-12
N,SM,AERON,AERON COMPOSITE LIMITED,157.2,159.0,163.25,156.65,157.3,18285850.0,115000, ,173.6,118.0,2024-12-12
N,SM,AESTHETIK,AESTHETIK ENGINEERS LTD,73.6,74.15,76.5,73.6,73.6,1201600.0,16000, ,127.5,66.05,2024-12-12
N,SM,AGARWALFT,AGARWAL FLOAT GLASS I LTD,74.95,73.0,73.0,73.0,73.0,219000.0,3000, ,103.95,40.0,2024-12-12
N,SM,AGNI,AGNI GREEN POWER LTD,42.3,50.5,50.75,48.35,50.75,18725375.0,370000, ,84.7,23.8,2024-12-12
N,SM,AGUL,A G UNIVERSAL LIMITED,55.75,55.75,57.9,55.75,57.9,227300.0,4000, ,89.75,47.5,2024-12-12
N,SM,AKIKO,AKIKO GLOBAL SERVICES L,86.95,84.3,88.0,84.3,86.1,554240.0,6400, ,98.0,62.8,2024-12-12
N,SM,ALPEXSOLAR,ALPEX SOLAR LIMITED,883.55,890.0,906.0,871.0,875.2,42181960.0,47800, ,1131.7,235.0,2024-12-12
N,SM,AMBANIORGO,AMBANI ORGOCHEM LIMITED,123.6,129.75,129.75,129.75,129.75,129750.0,1000, ,139.0,76.15,2024-12-12
